-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
86,3 esri format 1m hillshade raster from ground classified points,4671,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Hillshade,,,,,http://criticalzone.org/national/data/dataset/4671,4671
87,3 esri raster format 10m hillshade raster from ground classified points,5446,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Hillshade,,,,,http://criticalzone.org/national/data/dataset/5446,5446
88,4,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
89,4 esri float format 10m dem from first return points,5446,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/5446,5446
90,4 esri format 1m dem from all points canopy included,4671,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/4671,4671
91,5,4155,Geomorphology|Biology / Ecology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/4155,4155
92,5 esri format 1m hillshade raster from all points canopy included,4671,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Hillshade,,,,,http://criticalzone.org/national/data/dataset/4671,4671
93,5 esri raster format 10m hillshade raster first return points,5446,GIS / Remote Sensing,Calhoun,,,New ODM2 Term,Hillshade,,,,,http://criticalzone.org/national/data/dataset/5446,5446
94,a254nm,3894,Biogeochemistry|Hydrology|Water Chemistry,Boulder,SUVA254,SUVA254,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3894,3894
95,abs pres,4982,All Disciplines,Luquillo,"Pressure, absolute",pressureAbsolute,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4982,4982
96,absolute pressure,3590,Biology / Ecology|Hydrology|Water Chemistry,Luquillo,"Pressure, absolute",pressureAbsolute,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3590,3590
97,abspress,5324,Hydrology,Shale Hills,"Pressure, absolute",pressureAbsolute,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5324,5324
98,abspress,5326,Hydrology,Shale Hills,"Pressure, absolute",pressureAbsolute,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5326,5326
99,acetate m,2580,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,Acetate,acetate,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2580,2580
100,acetate m,2582,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,Acetate,acetate,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2582,2582
101,acid neutralizing capacity,2515,Biology / Ecology|Water Chemistry,Christina,Acid neutralizing capacity,acidNeutralizingCapacity,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2515,2515
102,acid phosphatase,4982,All Disciplines,Luquillo,Acid phosphatase,acidPhosphatase,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4982,4982
103,acid phosphatase activity,3970,Biogeochemistry,Luquillo,acid phosphatase,acidPhosphatase,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3970,3970
104,acid phosphatase activity per unit biomass,3970,Biogeochemistry,Luquillo,acid phosphatase,acidPhosphatase,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3970,3970
105,acid phosphatase activity per unit soil c,3970,Biogeochemistry,Luquillo,acid phosphatase,acidPhosphatase,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3970,3970
106,acidity ueql,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Acidity, total acidity",acidityTotalAcidity,ODM2,,,ueql,,,http://criticalzone.org/national/data/dataset/6292,6292
